"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.080579500E0,2.340342218E0,4.598331665E0,1.525784147E-1,5.161892674E0
2.090528500E0,2.729843963E0,4.461599205E0,2.790899420E-1,5.237920076E0
2.100507500E0,3.105494240E0,4.294275282E0,3.792094767E-1,5.313068275E0
2.110456500E0,3.469370563E0,4.102881880E0,4.115048182E-1,5.388831788E0
2.120435500E0,3.817070272E0,3.899170150E0,4.003074002E-1,5.471178971E0
2.130384500E0,4.139477264E0,3.669147118E0,3.430011054E-1,5.542162245E0
2.140363500E0,4.426790730E0,3.436854197E0,3.074489379E-1,5.612750466E0
2.150312500E0,4.719304125E0,3.173244758E0,3.312236436E-1,5.696579924E0
2.160291500E0,4.984622705E0,2.919225923E0,4.204697692E-1,5.791816496E0
2.170240500E0,5.231689786E0,2.669962043E0,5.749157846E-1,5.901678023E0
2.180219500E0,5.455172122E0,2.398374664E0,7.556403565E-1,6.006837459E0
2.190168500E0,5.653776310E0,2.141327555E0,8.928780162E-1,6.111276578E0
2.200147500E0,5.832313439E0,1.899468589E0,9.751985534E-1,6.210867346E0
2.210096500E0,5.993525852E0,1.670505658E0,1.002717962E0,6.302252344E0
2.220075500E0,6.117164057E0,1.443457689E0,9.786391282E-1,6.360896222E0
2.230024500E0,6.239928689E0,1.225406247E0,9.440668809E-1,6.428809593E0
2.240003500E0,6.340382100E0,1.047528684E0,9.314673007E-1,6.493488496E0
2.249952500E0,6.426390549E0,8.359734982E-1,9.060376867E-1,6.543565654E0
2.259931500E0,6.486800473E0,7.409468883E-1,9.571027366E-1,6.598759604E0
2.269880500E0,6.528551347E0,6.609441143E-1,1.038856167E0,6.643647488E0
2.279859500E0,6.549990748E0,5.266019958E-1,9.580827300E-1,6.640603208E0
2.289808500E0,6.563588448E0,5.193134415E-1,9.499711800E-1,6.652279685E0
2.299787500E0,6.546603456E0,4.621054530E-1,7.896384803E-1,6.610225956E0
2.309736500E0,6.509509304E0,4.759107292E-1,6.438393275E-1,6.558561693E0
2.319715500E0,6.449418638E0,5.082972872E-1,5.244450311E-1,6.490640145E0
2.329664500E0,6.370479473E0,5.635172224E-1,4.035842530E-1,6.408076203E0
2.339643500E0,6.274531927E0,6.933014363E-1,4.214122673E-1,6.326769008E0
2.349592500E0,6.142551498E0,7.942243785E-1,4.300112557E-1,6.208594121E0
2.359571500E0,5.989319950E0,9.719043052E-1,5.005181515E-1,6.088273143E0
2.369520500E0,5.818578329E0,1.131591180E0,5.292034221E-1,5.951168678E0
2.379499500E0,5.620369998E0,1.322082941E0,5.367252072E-1,5.798666757E0
2.389448500E0,5.401560756E0,1.558819161E0,5.035832620E-1,5.644499258E0
2.399427500E0,5.146431534E0,1.770355636E0,4.402531656E-1,5.460195918E0
2.409376500E0,4.883822847E0,2.037181628E0,4.431978234E-1,5.310203282E0
2.419355500E0,4.595849230E0,2.266575499E0,4.441614445E-1,5.143585717E0
2.429304500E0,4.292797398E0,2.543659846E0,5.475578320E-1,5.019774347E0
2.439283500E0,3.952983829E0,2.813239877E0,6.465804291E-1,4.894738605E0
2.449232500E0,3.614210480E0,3.080678657E0,7.637387502E-1,4.810030692E0
2.459211500E0,3.265024117E0,3.339444262E0,8.479958852E-1,4.746721762E0
2.469160500E0,2.882358351E0,3.566441360E0,8.200883675E-1,4.658330019E0
2.479139500E0,2.491150680E0,3.796346278E0,7.778539288E-1,4.606857226E0
2.489088500E0,2.090481922E0,4.023264438E0,6.364670849E-1,4.578412580E0
2.499067500E0,1.680116434E0,4.215458323E0,5.068693606E-1,4.566157756E0
2.509015500E0,1.272352810E0,4.363465970E0,3.836919522E-1,4.561352481E0
2.518995500E0,8.547109008E-1,4.488422722E0,2.691695559E-1,4.576999181E0
2.528943500E0,4.279669961E-1,4.618370073E0,2.147495198E-1,4.643125590E0
2.538923500E0,-1.455894571E-2,4.680005574E0,1.391953075E-1,4.682097763E0
2.548871500E0,-4.449429980E-1,4.719725710E0,5.166190445E-2,4.740933874E0
2.558851500E0,-8.665658382E-1,4.732643963E0,-7.755279064E-2,4.811950713E0
2.568799500E0,-1.280071281E0,4.708055252E0,-2.350773650E-1,4.884631829E0
2.578779500E0,-1.668731613E0,4.630280267E0,-4.187132657E-1,4.939583114E0
2.588727500E0,-2.070736459E0,4.518421862E0,-5.932889056E-1,5.005604592E0
2.598707500E0,-2.465115075E0,4.411012019E0,-7.015541965E-1,5.101568157E0
2.608655500E0,-2.832173453E0,4.244210252E0,-7.809827739E-1,5.161827315E0
2.618635500E0,-3.201063471E0,4.055890147E0,-7.739444804E-1,5.224561445E0
2.628583500E0,-3.549032737E0,3.848748440E0,-7.619775689E-1,5.290473299E0
2.638563500E0,-3.872786635E0,3.595611949E0,-7.464408591E-1,5.337047458E0
2.648511500E0,-4.186594713E0,3.338587060E0,-7.451013350E-1,5.406377239E0
2.658491500E0,-4.506282165E0,3.079689893E0,-7.635902309E-1,5.511273794E0
2.668439500E0,-4.780577390E0,2.791824449E0,-7.751810934E-1,5.590090310E0
2.678419500E0,-5.037886747E0,2.477973980E0,-7.958849877E-1,5.670457727E0
2.688367500E0,-5.287348847E0,2.173222362E0,-7.498035928E-1,5.765514608E0
2.698347500E0,-5.499381166E0,1.888602124E0,-6.757510185E-1,5.853772341E0
2.708295500E0,-5.699513231E0,1.610785121E0,-5.908150218E-1,5.952154414E0
2.718275500E0,-5.880840066E0,1.369079937E0,-5.133796871E-1,6.059886010E0
2.728223500E0,-6.024696774E0,1.039018062E0,-5.342279345E-1,6.136931581E0
2.738203500E0,-6.160469121E0,7.622956574E-1,-6.016532745E-1,6.236542402E0
2.748151500E0,-6.270785031E0,5.516789496E-1,-6.196094160E-1,6.325425708E0
2.758130500E0,-6.362870491E0,2.889670587E-1,-7.243969291E-1,6.410489354E0
2.768079500E0,-6.428705462E0,1.166718328E-1,-7.501270169E-1,6.473372905E0
2.778058500E0,-6.493037113E0,-2.644871056E-2,-7.325760144E-1,6.534286350E0
2.788007500E0,-6.539265200E0,-1.859011120E-1,-7.686031220E-1,6.586903623E0
2.797986500E0,-6.555717511E0,-2.672393900E-1,-7.448796525E-1,6.603309372E0
2.807935500E0,-6.555384219E0,-3.587103081E-1,-7.609308442E-1,6.609141480E0
2.817914500E0,-6.541770147E0,-4.226613057E-1,-8.041674956E-1,6.604550295E0
2.827855500E0,-6.507538792E0,-4.243476427E-1,-8.353496003E-1,6.574643794E0
2.837834500E0,-6.449387063E0,-4.183706188E-1,-9.084251779E-1,6.526474069E0
2.847783500E0,-6.391836428E0,-3.541822243E-1,-9.334932878E-1,6.469345229E0
2.857762500E0,-6.303023070E0,-2.675738508E-1,-9.493661394E-1,6.379732882E0
2.867711500E0,-6.203135669E0,-1.525813383E-1,-9.560162508E-1,6.278227478E0
2.877690500E0,-6.086620542E0,-2.411274791E-2,-9.428120685E-1,6.159255283E0
2.887639500E0,-5.946745203E0,1.549360120E-1,-8.959256581E-1,6.015851267E0
